hermes-1  | [plugins] DEBUG HERMES_PLUGINS_DEBUG=1 — verbose plugin discovery logging enabled
hermes-1  | [plugins] DEBUG Scanning bundled plugins: /app/plugins
hermes-1  | [plugins] DEBUG Parsed manifest: key=disk-cleanup name=disk-cleanup kind=standalone source=bundled path=/app/plugins/disk-cleanup
hermes-1  | [plugins] DEBUG Skipping /app/plugins/example-dashboard/dashboard (no plugin.yaml, depth cap reached)
hermes-1  | [plugins] DEBUG Parsed manifest: key=google_meet name=google_meet kind=standalone source=bundled path=/app/plugins/google_meet
hermes-1  | [plugins] DEBUG Skipping /app/plugins/hermes-achievements/dashboard (no plugin.yaml, depth cap reached)
hermes-1  | [plugins] DEBUG Skipping /app/plugins/hermes-achievements/docs (no plugin.yaml, depth cap reached)
hermes-1  | [plugins] DEBUG Skipping /app/plugins/hermes-achievements/tests (no plugin.yaml, depth cap reached)
hermes-1  | [plugins] DEBUG Parsed manifest: key=image_gen/openai name=openai kind=backend source=bundled path=/app/plugins/image_gen/openai
hermes-1  | [plugins] DEBUG Parsed manifest: key=image_gen/openai-codex name=openai-codex kind=backend source=bundled path=/app/plugins/image_gen/openai-codex
hermes-1  | [plugins] DEBUG Parsed manifest: key=image_gen/xai name=xai kind=backend source=bundled path=/app/plugins/image_gen/xai
hermes-1  | [plugins] DEBUG Skipping /app/plugins/kanban/dashboard (no plugin.yaml, depth cap reached)
hermes-1  | [plugins] DEBUG Skipping /app/plugins/kanban/systemd (no plugin.yaml, depth cap reached)
hermes-1  | [plugins] DEBUG Parsed manifest: key=observability/langfuse name=langfuse kind=standalone source=bundled path=/app/plugins/observability/langfuse
hermes-1  | [plugins] DEBUG Parsed manifest: key=spotify name=spotify kind=backend source=bundled path=/app/plugins/spotify
hermes-1  | [plugins] DEBUG Parsed manifest: key=teams_pipeline name=teams_pipeline kind=standalone source=bundled path=/app/plugins/teams_pipeline
hermes-1  | [plugins] DEBUG Parsed manifest: key=video_gen/fal name=fal kind=backend source=bundled path=/app/plugins/video_gen/fal
hermes-1  | [plugins] DEBUG Parsed manifest: key=video_gen/xai name=xai kind=backend source=bundled path=/app/plugins/video_gen/xai
hermes-1  | [plugins] DEBUG Parsed manifest: key=web/brave_free name=web-brave-free kind=backend source=bundled path=/app/plugins/web/brave_free
hermes-1  | [plugins] DEBUG Parsed manifest: key=web/ddgs name=web-ddgs kind=backend source=bundled path=/app/plugins/web/ddgs
hermes-1  | [plugins] DEBUG Parsed manifest: key=web/exa name=web-exa kind=backend source=bundled path=/app/plugins/web/exa
hermes-1  | [plugins] DEBUG Parsed manifest: key=web/firecrawl name=web-firecrawl kind=backend source=bundled path=/app/plugins/web/firecrawl
hermes-1  | [plugins] DEBUG Parsed manifest: key=web/parallel name=web-parallel kind=backend source=bundled path=/app/plugins/web/parallel
hermes-1  | [plugins] DEBUG Parsed manifest: key=web/searxng name=web-searxng kind=backend source=bundled path=/app/plugins/web/searxng
hermes-1  | [plugins] DEBUG Parsed manifest: key=web/tavily name=web-tavily kind=backend source=bundled path=/app/plugins/web/tavily
hermes-1  | [plugins] DEBUG   bundled (top-level): 17 manifest(s)
hermes-1  | [plugins] DEBUG Parsed manifest: key=google_chat-platform name=google_chat-platform kind=platform source=bundled path=/app/plugins/platforms/google_chat
hermes-1  | [plugins] DEBUG Parsed manifest: key=irc-platform name=irc-platform kind=platform source=bundled path=/app/plugins/platforms/irc
hermes-1  | [plugins] DEBUG Parsed manifest: key=line-platform name=line-platform kind=platform source=bundled path=/app/plugins/platforms/line
hermes-1  | [plugins] DEBUG Parsed manifest: key=teams-platform name=teams-platform kind=platform source=bundled path=/app/plugins/platforms/teams
hermes-1  | [plugins] DEBUG   bundled/platforms: 4 manifest(s)
hermes-1  | [plugins] DEBUG Scanning user plugins: /home/hermes/.hermes/plugins
hermes-1  | [plugins] DEBUG Parsed manifest: key=anchors name=anchors kind=standalone source=user path=/home/hermes/.hermes/plugins/anchors
hermes-1  | [plugins] DEBUG Parsed manifest: key=durability name=durability kind=standalone source=user path=/home/hermes/.hermes/plugins/durability
hermes-1  | [plugins] DEBUG Parsed manifest: key=evaluators name=evaluators kind=standalone source=user path=/home/hermes/.hermes/plugins/evaluators
hermes-1  | [plugins] DEBUG Parsed manifest: key=kanban name=kanban kind=standalone source=user path=/home/hermes/.hermes/plugins/kanban
hermes-1  | [plugins] DEBUG Parsed manifest: key=memory name=memory kind=standalone source=user path=/home/hermes/.hermes/plugins/memory
hermes-1  | [plugins] DEBUG Parsed manifest: key=observability name=observability kind=standalone source=user path=/home/hermes/.hermes/plugins/observability
hermes-1  | [plugins] DEBUG   user: 6 manifest(s)
